run_id,firm_id,rank,company,relative_timepoint,target_year,snapshot_status,pages_attempted,pages_fetch_success,pages_fetch_failed,pages_extraction_usable,pages_branding_eligible,pages_governance_metadata,pages_excluded_legal_technical,pages_duplicate,pages_excluded,avg_text_chars,flags
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,4,MYRENNE GMBH,pre_event,2010,selected,25,25,0,25,12,0,13,11,0,1475.9,"[""duplicate_content_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,4,MYRENNE GMBH,event,2012,event_unavailable,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,4,MYRENNE GMBH,post_event,2014,selected,25,25,0,25,11,0,13,12,0,1420.2,"[""duplicate_content_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,4,MYRENNE GMBH,post_post_event,2016,selected,25,25,0,24,17,0,2,6,1,810.4,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008,selected,25,25,0,25,11,0,13,12,0,1283.0,"[""duplicate_content_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010,selected,25,25,0,25,10,0,13,14,0,1506.8,"[""duplicate_content_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,pre_pre_event,2015,selected,25,25,0,25,23,0,1,0,0,2877.8,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,pre_event,2017,selected,25,25,0,24,23,0,1,0,1,2298.8,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,event,2019,selected,25,24,1,22,22,0,0,0,3,,"[""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,post_event,2021,selected,25,23,2,22,16,0,0,6,3,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,6,FIELMANN GROUP AG,post_post_event,2023,selected,25,17,8,14,13,0,7,6,11,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,pre_pre_event,2017,selected,25,24,1,23,17,0,0,5,2,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,pre_event,2019,selected,25,24,1,24,18,0,1,5,1,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,event,2021,selected,25,21,4,21,18,0,1,2,4,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,post_event,2023,selected,25,18,7,18,16,0,0,2,7,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,7,7,SIXT SE,post_post_event,2025,selected,25,24,1,24,19,2,0,3,1,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
508f1903-71e7-4aab-aba6-000fed4d8b7d,8,8,DM-DROGERIE MARKT GMBH + CO. KG,pre_pre_event,2015,selected,25,18,7,18,18,0,1,0,7,,"[""likely_navigation_only""]"
