run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019-07-01,2019-07-23,selected,include,True,16,16,16,10,6,1,3,0,4116,4116,667,667,83,de,"{""de"": 667}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021-07-01,2021-06-23,selected,include,True,25,25,25,17,8,1,3,0,4869,4869,1335,1335,83,de,"{""de"": 1335}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023-07-01,2023-05-29,selected,sensitivity_analysis,True,21,21,21,13,8,1,3,0,5050,5050,1475,1475,128,de,"{""de"": 1475}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025-07-01,2025-06-15,selected,include,True,23,23,23,17,6,1,3,0,5662,5662,2152,2152,86,de,"{""de"": 2152}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_pre_event,2008-07-01,2008-08-20,selected,include,True,1,1,1,1,0,0,0,0,36,36,36,36,0,de,"{""de"": 36}",0,False,insufficient_branding_tokens,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_event,2010-07-01,2010-04-27,selected,include,True,25,25,25,19,6,2,6,0,7214,7214,6639,6639,240,de,"{""de"": 6639}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,event,2012-04-15,2011-08-10,event_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_event,2014-07-01,2014-05-17,selected,include,True,25,25,25,15,10,1,9,0,4662,4662,4032,4032,115,de,"{""de"": 4032}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_post_event,2016-07-01,2016-08-01,selected,include,True,25,25,24,21,3,1,3,0,4727,4727,2217,2217,1574,de,"{""de"": 2217}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002-07-01,2001-07-23,selected,include,True,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_branding_pages,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004-07-01,2005-09-09,selected,exclude_duplicate_capture,False,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,duplicate_capture,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006-01-01,2005-09-09,selected,sensitivity_analysis,True,1,1,0,0,0,0,0,0,0,0,0,0,0,unknown,,0,False,no_branding_pages,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008-07-01,2008-03-27,selected,include,True,25,25,25,20,5,1,4,0,5655,5655,5191,5191,284,de,"{""de"": 4846, ""en"": 345}",0,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010-07-01,2010-06-18,selected,include,True,25,25,25,23,2,1,1,0,6433,6433,6109,6109,284,de,"{""de"": 5867, ""en"": 242}",0,True,,high
