run_id,firm_id,rank,company,event_type,event_year,event_label,event_date,event_date_precision,event_date_source,relative_timepoint,target_year,target_date,target_date_precision,observation_is_future,snapshot_status,capture_source,requested_url,cdx_original_url,canonical_original_url,archive_timestamp,selected_capture_date,temporal_distance_days,temporal_fit_quality,temporal_fit_usable_default,event_snapshot_position,days_from_actual_event,days_between_selected_snapshots,adjacent_period_overlap_flag,homepage_available,relevant_subpages_available,subpage_only_observation,observation_recommendation,wayback_replay_url,http_status,mime_type,digest,redirect_chain,selection_reason,fallback_attempts,failure_reason,event_year_precision_note,discovered_at,event_date_inferred,event_date_verified,event_date_final,event_date_verification_status,analysis_eligible,duplicate_capture_flag,duplicate_capture_winner_timepoint,observation_scope
ed085a32-23b7-4c16-9931-d5cd0abea722,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,pre_pre_event,2019,2019-07-01,year,False,selected,wayback,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,20190723051243.0,2019-07-23,22.0,high,True,before_event,-1439.0,,False,True,False,False,include,https://web.archive.org/web/20190723051243id_/https://www.anlagentechnik-leichtle.de/,200.0,text/html,YREBW7SD3WM3NLRYRLEX2V7VPDS446U2,,closest_within_548d_later_homepage,"[""http://anlagentechnik-leichtle.de/"", ""http://www.anlagentechnik-leichtle.de/"", ""https://anlagentechnik-leichtle.de/"", ""https://www.anlagentechnik-leichtle.de/""]",,,2026-07-14T16:05:50.606784+00:00,,,2023-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,pre_event,2021,2021-07-01,year,False,selected,wayback,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,20210623054251.0,2021-06-23,8.0,high,True,before_event,-738.0,701,False,True,False,False,include,https://web.archive.org/web/20210623054251id_/https://www.anlagentechnik-leichtle.de/,200.0,text/html,ROMVPXO3ENUME4URSIEFL6T7FOM7X4SP,,closest_within_548d_earlier_homepage,"[""http://anlagentechnik-leichtle.de/"", ""http://www.anlagentechnik-leichtle.de/"", ""https://anlagentechnik-leichtle.de/"", ""https://www.anlagentechnik-leichtle.de/""]",,,2026-07-14T16:05:50.608482+00:00,,,2023-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,event,2023,2023-07-01,year,False,selected,wayback,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,https://www.anlagentechnik-leichtle.de/,20230529054753.0,2023-05-29,33.0,high,True,before_event,-33.0,705,False,True,False,False,sensitivity_analysis,https://web.archive.org/web/20230529054753id_/https://www.anlagentechnik-leichtle.de/,200.0,text/html,GWEJ6TZBJ2ITATVARS4JVEVA2HGK4UEG,,closest_within_548d_earlier_homepage,"[""http://anlagentechnik-leichtle.de/"", ""http://www.anlagentechnik-leichtle.de/"", ""https://anlagentechnik-leichtle.de/"", ""https://www.anlagentechnik-leichtle.de/""]",,Event target uses year-level precision (2023-07-01). Event date source: event_year=2023 (mid-year proxy),2026-07-14T16:05:50.610494+00:00,,,2023-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,post_event,2025,2025-07-01,year,False,selected,wayback,https://www.anlagentechnik-leichtle.de,https://www.anlagentechnik-leichtle.de,https://www.anlagentechnik-leichtle.de/,20250615044832.0,2025-06-15,16.0,high,True,after_event,715.0,748,False,True,False,False,include,https://web.archive.org/web/20250615044832id_/https://www.anlagentechnik-leichtle.de,200.0,text/html,VO3QOEVRGEOZW3YNAWCSF2XXQROGA3UO,,closest_within_548d_earlier_homepage,"[""http://anlagentechnik-leichtle.de/"", ""http://www.anlagentechnik-leichtle.de/"", ""https://anlagentechnik-leichtle.de/"", ""https://www.anlagentechnik-leichtle.de/""]",,,2026-07-14T16:05:50.612116+00:00,,,2023-07-01,unverified_proxy,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,3,3,ANLAGENTECHNIK LEICHTLE GMBH,unclear_family_transition,2023,Übernahme unklar; geringe Text-/Informationsdichte,2023-07-01,year,unverified_proxy: event_year=2023 mid-year,post_post_event,2027,2027-07-01,year,True,future_unavailable,wayback,,,,,,,,,unknown,,,False,False,False,False,exclude,,,,,,future_unavailable,,,,2026-07-14T16:05:50.612207+00:00,,,2023-07-01,unverified_proxy,False,False,,unavailable
ed085a32-23b7-4c16-9931-d5cd0abea722,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,pre_pre_event,2008,2008-07-01,year,False,selected,wayback,http://www.myrenne.com/,http://www.myrenne.com/,http://www.myrenne.com/,20080820062004.0,2008-08-20,50.0,high,True,before_event,-1334.0,,False,True,False,False,include,https://web.archive.org/web/20080820062004id_/http://www.myrenne.com/,200.0,text/html,XHRDKPZEIBCJVCK3WP42JGBSI6SFZ6M7,,closest_within_548d_later_homepage,"[""http://myrenne.com/"", ""http://www.myrenne.com/"", ""https://myrenne.com/"", ""https://www.myrenne.com/""]",,,2026-07-14T16:05:50.615518+00:00,2012-04-15,2012-04-15,2012-04-15,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,pre_event,2010,2010-07-01,year,False,selected,wayback,http://www.myrenne.com:80/,http://www.myrenne.com:80/,http://www.myrenne.com/,20100427181748.0,2010-04-27,65.0,high,True,before_event,-719.0,615,False,True,False,False,include,https://web.archive.org/web/20100427181748id_/http://www.myrenne.com:80/,200.0,text/html,NDB4QLKSCIVAORAE3YQ5GFA77NIFHQ3Q,,closest_within_548d_earlier_homepage,"[""http://myrenne.com/"", ""http://www.myrenne.com/"", ""https://myrenne.com/"", ""https://www.myrenne.com/""]",,,2026-07-14T16:05:50.617694+00:00,2012-04-15,2012-04-15,2012-04-15,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,event,2012,2012-04-15,month,False,event_unavailable,wayback,http://www.myrenne.com:80/,http://www.myrenne.com:80/,http://www.myrenne.com/,20110810103830.0,2011-08-10,249.0,low,True,before_event,-249.0,,False,True,True,True,exclude,https://web.archive.org/web/20110810103830id_/http://www.myrenne.com:80/,200.0,text/html,CC7PXYZ6ATQNRQLVQXRTEU6EDVKGGYPR,,rejected_pre_event_capture_for_event_timepoint,"[""http://myrenne.com/"", ""http://www.myrenne.com/"", ""https://myrenne.com/"", ""https://www.myrenne.com/""]",closest_homepage_capture_2011-08-10_is_249d_before_event_2012-04-15,Event target uses month-level precision (2012-04-15). Event date source: event_label: Übergabe im April 2012 bestätigt,2026-07-14T16:06:16.094320+00:00,2012-04-15,2012-04-15,2012-04-15,verified,False,False,,subpages_only
ed085a32-23b7-4c16-9931-d5cd0abea722,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,post_event,2014,2014-07-01,year,False,selected,wayback,http://myrenne.com/,http://myrenne.com/,http://myrenne.com/,20140517163035.0,2014-05-17,45.0,high,True,after_event,762.0,1481,False,True,False,False,include,https://web.archive.org/web/20140517163035id_/http://myrenne.com/,200.0,text/html,QTXAUEKBPENL4IABZ52F6QINQKQFAJ3A,,closest_within_548d_earlier_homepage,"[""http://myrenne.com/"", ""http://www.myrenne.com/"", ""https://myrenne.com/"", ""https://www.myrenne.com/""]",,,2026-07-14T16:06:16.101483+00:00,2012-04-15,2012-04-15,2012-04-15,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,4,4,MYRENNE GMBH,family_internal_succession,2012,Übergabe im April 2012 bestätigt,2012-04-15,month,event_label: Übergabe im April 2012 bestätigt,post_post_event,2016,2016-07-01,year,False,selected,wayback,http://www.myrenne.com/,http://www.myrenne.com/,http://www.myrenne.com/,20160801210455.0,2016-08-01,31.0,high,True,after_event,1569.0,807,False,True,False,False,include,https://web.archive.org/web/20160801210455id_/http://www.myrenne.com/,200.0,text/html,KDOFHURFNXXYO2XY2C6DQVFDLAGMQ7D2,,closest_within_548d_later_homepage,"[""http://myrenne.com/"", ""http://www.myrenne.com/"", ""https://myrenne.com/"", ""https://www.myrenne.com/""]",,,2026-07-14T16:06:16.104833+00:00,2012-04-15,2012-04-15,2012-04-15,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),pre_pre_event,2002,2002-07-01,year,False,selected,wayback,http://www.msf-technik.de:80/,http://www.msf-technik.de:80/,http://www.msf-technik.de/,20010723123022.0,2001-07-23,343.0,low,True,before_event,-1623.0,,False,True,False,False,include,https://web.archive.org/web/20010723123022id_/http://www.msf-technik.de:80/,200.0,text/html,PYLIXLSJZ5U5INKG5P4EGJZ5PNUEZERL,,closest_within_548d_earlier_homepage,"[""http://msf-technik.de/"", ""http://www.msf-technik.de/"", ""https://msf-technik.de/"", ""https://www.msf-technik.de/""]",,,2026-07-14T16:06:16.109491+00:00,,2006-01-01,2006-01-01,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),pre_event,2004,2004-07-01,year,False,selected,wayback,http://www.msf-technik.de:80/,http://www.msf-technik.de:80/,http://www.msf-technik.de/,20050909231716.0,2005-09-09,435.0,very_low,False,before_event,-114.0,1509,True,True,False,False,exclude_duplicate_capture,https://web.archive.org/web/20050909231716id_/http://www.msf-technik.de:80/,200.0,text/html,WZAL3GD23T5T3L7HCIAQMHQVRWYITTD3,,closest_within_548d_later_homepage,"[""http://msf-technik.de/"", ""http://www.msf-technik.de/"", ""https://msf-technik.de/"", ""https://www.msf-technik.de/""]",,,2026-07-14T16:06:16.112670+00:00,,2006-01-01,2006-01-01,verified,False,True,event,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),event,2006,2006-01-01,year,False,selected,wayback,http://www.msf-technik.de:80/,http://www.msf-technik.de:80/,http://www.msf-technik.de/,20050909231716.0,2005-09-09,114.0,moderate,True,before_event,-114.0,0,True,True,False,False,sensitivity_analysis,https://web.archive.org/web/20050909231716id_/http://www.msf-technik.de:80/,200.0,text/html,WZAL3GD23T5T3L7HCIAQMHQVRWYITTD3,,closest_within_548d_earlier_homepage,"[""http://msf-technik.de/"", ""http://www.msf-technik.de/"", ""https://msf-technik.de/"", ""https://www.msf-technik.de/""]",,Event target uses year-level precision (2006-01-01). Event date source: event_year; MSF-Vathauer management entry 2006 (exact day unknown),2026-07-14T16:06:16.115649+00:00,,2006-01-01,2006-01-01,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),post_event,2008,2008-07-01,year,False,selected,wayback,http://msf-technik.de:80/,http://msf-technik.de:80/,http://msf-technik.de/,20080327012906.0,2008-03-27,96.0,moderate,True,after_event,816.0,930,False,True,False,False,include,https://web.archive.org/web/20080327012906id_/http://msf-technik.de:80/,200.0,text/html,DVPHI3G77ZO2CKY7TYQXZGRAQDMEZLWA,,closest_within_548d_earlier_homepage,"[""http://msf-technik.de/"", ""http://www.msf-technik.de/"", ""https://msf-technik.de/"", ""https://www.msf-technik.de/""]",,,2026-07-14T16:06:16.118282+00:00,,2006-01-01,2006-01-01,verified,True,False,,homepage_only
ed085a32-23b7-4c16-9931-d5cd0abea722,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,family_internal_succession_or_management_entry,2006,Marc Vathauer tritt in die Geschäftsführung ein,2006-01-01,year,event_year; MSF-Vathauer management entry 2006 (exact day unknown),post_post_event,2010,2010-07-01,year,False,selected,wayback,http://www.msf-technik.de:80/,http://www.msf-technik.de:80/,http://www.msf-technik.de/,20100618062303.0,2010-06-18,13.0,high,True,after_event,1629.0,813,False,True,False,False,include,https://web.archive.org/web/20100618062303id_/http://www.msf-technik.de:80/,200.0,text/html,3I5UXFU4KTQWUQVZV222JDQY3RVGXN5L,,closest_within_548d_earlier_homepage,"[""http://msf-technik.de/"", ""http://www.msf-technik.de/"", ""https://msf-technik.de/"", ""https://www.msf-technik.de/""]",,,2026-07-14T16:06:16.120825+00:00,,2006-01-01,2006-01-01,verified,True,False,,homepage_only
