run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019-07-01,2019-07-23,selected,include,True,16,16,16,5,11,5,1,3,2,2,32,32,True,3965,3965,395,395,83,de,"{""de"": 395}",0,5,0,0,0,395,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021-07-01,2021-06-23,selected,include,True,25,25,25,11,14,11,1,3,6,6,338,338,True,4689,4689,809,809,83,de,"{""de"": 809}",0,11,0,0,0,809,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023-07-01,2023-05-29,selected,sensitivity_analysis,True,21,21,21,13,8,13,1,3,2,2,42,42,True,4956,4956,1419,1419,86,de,"{""de"": 1419}",0,13,0,0,0,1419,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025-07-01,2025-06-15,selected,include,True,23,23,23,17,6,17,1,3,1,1,25,25,True,5498,5498,1988,1988,86,de,"{""de"": 1988}",0,17,0,0,0,1988,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027-07-01,,future_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_pre_event,2008-07-01,2008-08-20,selected,include,True,1,1,1,1,0,1,0,0,0,0,0,0,True,36,36,36,36,0,de,"{""de"": 36}",0,1,0,0,0,36,0,0,0,de,False,insufficient_branding_tokens,False,insufficient_branding_tokens,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,pre_event,2010-07-01,2010-04-27,selected,include,True,25,14,14,11,3,11,1,13,10,10,910,910,True,3890,3890,3682,3682,113,de,"{""de"": 3682}",0,11,0,0,0,3682,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,event,2012-04-15,2011-08-10,event_unavailable,exclude,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_valid_snapshot,False,no_valid_snapshot,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_event,2014-07-01,2014-05-17,selected,include,True,25,13,13,11,2,11,1,14,11,11,1056,1056,True,3387,3387,3224,3224,115,de,"{""de"": 3224}",0,11,0,0,0,3224,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,MYRENNE GMBH,post_post_event,2016-07-01,2016-08-01,selected,include,True,25,23,22,17,5,17,1,3,5,5,618,618,True,3771,3771,1665,1665,1574,de,"{""de"": 1665}",0,17,0,0,0,1665,0,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002-07-01,2001-07-23,selected,include,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004-07-01,2005-09-09,selected,exclude_duplicate_capture,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,duplicate_capture,False,duplicate_capture,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006-01-01,2005-09-09,selected,sensitivity_analysis,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008-07-01,2008-03-27,selected,include,True,25,16,16,9,7,9,1,13,12,12,1374,1374,True,3896,3896,2916,2916,284,de,"{""de"": 2674, ""en"": 242}",0,8,1,0,0,2674,242,0,0,de,True,,True,,high
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010-07-01,2010-06-18,selected,include,True,25,13,13,9,4,9,1,13,14,14,1944,1944,True,4496,4496,3301,3301,284,de,"{""de"": 3059, ""en"": 242}",0,8,1,0,0,3059,242,0,0,de,True,,True,,high
