run_id,firm_id,rank,company,relative_timepoint,target_year,snapshot_status,pages_attempted,pages_fetch_success,pages_fetch_failed,pages_extraction_usable,pages_branding_eligible,pages_governance_metadata,pages_excluded_legal_technical,pages_duplicate,pages_excluded,avg_text_chars,flags
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_pre_event,2020,selected,25,22,3,22,18,1,5,1,3,2875.1,"[""duplicate_content_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,pre_event,2022,selected,25,19,6,19,16,1,6,3,6,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,event,2024,selected,25,25,0,25,24,1,0,0,0,2867.3,
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_event,2026,selected,25,25,0,25,24,1,0,0,0,3057.8,
c956bd4e-2b8a-4c48-8780-c187587f46b3,1,1,BLUE MOON COMMUNICATION CONSULTANTS GMBH,post_post_event,2028,future_unavailable,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,2,PETER-LACKE HOLDING GMBH,pre_pre_event,2011,selected,25,24,1,24,18,2,1,4,1,1100.7,"[""duplicate_content_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,2,PETER-LACKE HOLDING GMBH,pre_event,2013,selected,25,25,0,24,20,2,0,2,1,1090.7,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,2,PETER-LACKE HOLDING GMBH,event,2015,selected,25,15,10,15,12,1,10,10,10,959.0,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,2,PETER-LACKE HOLDING GMBH,post_event,2017,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,2,2,PETER-LACKE HOLDING GMBH,post_post_event,2019,beyond_tolerance,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_pre_event,2019,selected,16,16,0,16,5,1,2,2,0,2006.3,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,3,ANLAGENTECHNIK LEICHTLE GMBH,pre_event,2021,selected,25,25,0,25,11,1,2,6,0,1508.2,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,3,ANLAGENTECHNIK LEICHTLE GMBH,event,2023,selected,21,21,0,21,13,1,2,2,0,1901.0,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_event,2025,selected,23,23,0,23,17,1,2,1,0,1892.3,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,3,3,ANLAGENTECHNIK LEICHTLE GMBH,post_post_event,2027,future_unavailable,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,4,MYRENNE GMBH,pre_pre_event,2008,selected,1,1,0,1,1,0,0,0,0,277.0,
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,4,MYRENNE GMBH,pre_event,2010,selected,25,14,11,14,11,1,12,10,11,,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,4,MYRENNE GMBH,event,2012,event_unavailable,1,1,0,0,0,0,0,1,1,,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,4,MYRENNE GMBH,post_event,2014,selected,25,13,12,13,11,1,13,11,12,1342.4,"[""duplicate_content_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,4,4,MYRENNE GMBH,post_post_event,2016,selected,25,23,2,22,17,1,2,5,3,1297.7,"[""duplicate_content_flag"", ""likely_navigation_only"", ""soft_404_flag""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006,selected,1,1,0,0,0,0,0,0,1,0.0,"[""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008,selected,25,16,9,16,9,1,12,12,9,1416.4,"[""duplicate_content_flag"", ""likely_navigation_only""]"
c956bd4e-2b8a-4c48-8780-c187587f46b3,5,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010,selected,25,13,12,13,9,1,12,14,12,1724.0,"[""duplicate_content_flag""]"
