run_id,firm_id,company,relative_timepoint,target_date,selected_capture_date,snapshot_status,observation_recommendation,analysis_eligible,n_pages_total,n_pages_fetch_success,n_pages_extraction_usable,n_branding_pages_eligible,n_branding_pages_excluded,n_unique_branding_pages,n_impressum_pages,n_legal_technical_pages,n_duplicate_pages,n_duplicate_pages_within_observation,duplicate_tokens_removed,duplicate_words_removed,deduplication_applied,total_word_count_all_usable_pages,total_token_count_all_usable_pages,branding_word_count,branding_token_count,governance_metadata_word_count,detected_primary_language,language_distribution_json,n_pages_language_unknown,n_pages_de,n_pages_en,n_pages_other,n_pages_unknown,tokens_de,tokens_en,tokens_other,tokens_unknown,primary_language_by_tokens,german_text_analysis_eligible,german_text_analysis_exclusion_reason,text_analysis_eligible,text_analysis_exclusion_reason,text_analysis_quality_band
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,post_event,2014-07-01,2014-05-17,selected,include,True,25,25,25,11,14,11,0,13,12,12,1140,1140,True,4728,4728,3315,3315,0,de,"{""de"": 3315}",0,11,0,0,0,3315,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,4,MYRENNE GMBH,post_post_event,2016-07-01,2016-08-01,selected,include,True,25,25,24,17,7,17,0,2,6,6,723,723,True,2484,2484,1665,1665,0,de,"{""de"": 1665}",0,17,0,0,0,1665,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_pre_event,2002-07-01,2001-07-23,selected,include,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,pre_event,2004-07-01,2005-09-09,selected,exclude_duplicate_capture,False,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,duplicate_capture,False,duplicate_capture,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,event,2006-01-01,2005-09-09,selected,sensitivity_analysis,True,1,1,0,0,0,0,0,0,0,0,0,0,True,0,0,0,0,0,unknown,,0,0,0,0,0,0,0,0,0,unknown,False,no_branding_pages,False,no_branding_pages,ineligible
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_event,2008-07-01,2008-03-27,selected,include,True,25,25,25,11,14,11,0,13,12,12,1263,1263,True,4483,4483,3079,3079,0,de,"{""de"": 2457, ""en"": 622}",0,9,2,0,0,2457,622,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,5,MSF-VATHAUER ANTRIEBSTECHNIK GMBH & CO. KG,post_post_event,2010-07-01,2010-06-18,selected,include,True,25,25,25,10,15,10,0,13,14,14,1744,1744,True,5160,5160,3320,3320,0,de,"{""de"": 2698, ""en"": 622}",0,8,2,0,0,2698,622,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,pre_pre_event,2015-07-01,2015-07-01,selected,include,True,25,25,25,23,2,23,0,1,0,0,0,0,True,9074,9074,8915,8915,0,de,"{""de"": 8915}",0,23,0,0,0,8915,0,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,pre_event,2017-07-01,2017-06-24,selected,include,True,25,25,24,23,1,23,0,1,0,0,0,0,True,7156,7156,6987,6987,0,de,"{""de"": 6915, ""en"": 72}",0,22,1,0,0,6915,72,0,0,de,True,,True,,high
508f1903-71e7-4aab-aba6-000fed4d8b7d,6,FIELMANN GROUP AG,event,2019-07-01,2019-06-24,selected,sensitivity_analysis,True,25,24,22,22,0,22,0,0,0,0,0,0,True,9678,9678,9678,9678,0,de,"{""de"": 9678}",0,22,0,0,0,9678,0,0,0,de,True,,True,,high
