run_id,firm_id,company,relative_timepoint,archive_timestamp,n_high_priority_pages_discovered,n_high_priority_pages_fetched,n_high_priority_pages_missing,n_secondary_pages_fetched,n_broad_pages_fetched,n_foreign_pages_deprioritized,crawl_limit_reached,unused_reserved_slots,pages_fetched
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,event,20190704175027,14,14,0,11,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_event,20210706194317,50,20,30,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,post_post_event,20230701145021,51,20,31,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_event,20170701101545,15,15,0,10,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,10,B. BRAUN SE,pre_pre_event,20160329173241,14,14,0,11,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,post_event,20180304082313,57,20,37,5,0,496,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,post_post_event,20190724072426,61,20,41,5,0,619,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,pre_event,20120621013032,50,20,30,5,0,1,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,11,HARTING TECHNOLOGY GROUP,pre_pre_event,20110713070400,49,20,29,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,post_event,20230629084845,25,20,5,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,post_post_event,20250701125246,24,20,4,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,pre_event,20190627052815,48,20,28,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,12,DIRK ROSSMANN GMBH,pre_pre_event,20170422114716,50,20,30,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,event,20150709054523,89,20,69,5,0,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,post_post_event,20190826043633,8,8,0,2,15,14,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_event,20130425050731,18,18,0,5,2,0,True,0,25
508f1903-71e7-4aab-aba6-000fed4d8b7d,2,PETER-LACKE HOLDING GMBH,pre_pre_event,20110806103010,19,19,0,4,2,0,True,0,25
